entity,field,type,nullable,units,meaning,reference,storage
book_snapshot,reconstruction_version,TEXT,false,not applicable,Algorithm version and source semantics,,stored
book_snapshot,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
book_snapshot,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
book_snapshot,sequence_end,TEXT,true,not applicable,Source sequence if supplied,,stored
book_snapshot,sequence_start,TEXT,true,not applicable,Source sequence if supplied,,stored
book_snapshot,snapshot_kind,ENUM,false,not applicable,snapshot/reconstructed_delta,,stored
book_snapshot,source_observation_id,HASH,false,not applicable,Raw book or delta envelope,source_observation.id,stored
book_snapshot,token_outcome_id,HASH,false,not applicable,Outcome mapping known at receipt,token_outcome_version.id,stored
condition_identity,chain_id,INT64,true,not applicable,EVM chain namespace,,stored
condition_identity,collateral_address,ADDRESS,true,not applicable,source settlement currency,,stored
condition_identity,collateral_decimals,INT64,true,not applicable,scale for native token units,,stored
condition_identity,condition_id,HEX32,true,not applicable,chain condition identity,,stored
condition_identity,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
condition_identity,identity_status,ENUM,false,not applicable,verified/unresolved/conflicting,,stored
condition_identity,mapping_evidence_ids,ID_LIST,false,not applicable,Source observations establishing identity,,stored
condition_identity,mapping_version,HASH,false,not applicable,Mapping definition/evidence hash,,stored
condition_identity,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
condition_identity,observed_from_at,UTC,false,UTC microseconds; original precision in source envelope,Actual knowledge time,,stored
condition_identity,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
condition_identity,question_id,HEX32,true,not applicable,oracle question identity,,stored
condition_identity,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
condition_identity,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
condition_identity,supersedes_id,HASH,true,not applicable,Earlier condition version,condition_identity.id,stored
condition_identity,venue,TEXT,false,not applicable,Source namespace,,stored
event_group_membership,event_group_id,TEXT,true,not applicable,versioned economic event group,,stored
event_group_membership,group_version,HASH,false,not applicable,Whole group graph manifest hash,,stored
event_group_membership,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
event_group_membership,mapping_confidence,DECIMAL_TEXT,true,explicit unit field/source contract,"Bounded [0,1], not a calibrated probability",,stored
event_group_membership,mapping_evidence_ids,ID_LIST,false,not applicable,Evidence observation list,,stored
event_group_membership,mapping_method,TEXT,false,not applicable,Rule/manual algorithm version,,stored
event_group_membership,mapping_view,ENUM,false,not applicable,as_known/conservative_evaluation,,stored
event_group_membership,member_identity_id,HASH,false,not applicable,Versioned market member,market_identity_version.id,stored
event_group_membership,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
event_group_membership,observed_from_at,UTC,false,UTC microseconds; original precision in source envelope,Mapping first known,,stored
event_group_membership,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
event_group_membership,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
event_group_membership,relationship_type,ENUM,false,not applicable,common_cause/mutually_exclusive/nested_threshold/recurring_release/related_contract,,stored
event_group_membership,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
event_group_membership,supersedes_id,HASH,true,not applicable,Prior membership,event_group_membership.id,stored
event_group_membership,valid_from_at,UTC,true,UTC microseconds; original precision in source envelope,Effective start,,stored
event_group_membership,valid_to_at,UTC,true,UTC microseconds; original precision in source envelope,Effective end,,stored
experiment_run,candidate_manifest_id,HASH,false,not applicable,Model/config/seed/code/dependencies,artifact_manifest.id,stored
experiment_run,experiment_id,TEXT,false,not applicable,H01-H60 or baseline/measurement protocol,,stored
experiment_run,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
experiment_run,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
experiment_run,protocol_manifest_id,HASH,false,not applicable,"Design, thresholds, power, metrics, stopping rules",artifact_manifest.id,stored
experiment_run,protocol_version,HASH,false,not applicable,Frozen protocol hash,,stored
experiment_run,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
experiment_run,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
experiment_run,registered_at,UTC,false,UTC microseconds; original precision in source envelope,Before first confirmation origin,,stored
experiment_run,result_manifest_id,HASH,true,not applicable,All trials/metrics/uncertainty including negative results,artifact_manifest.id,stored
experiment_run,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
experiment_run,split_manifest_id,HASH,false,not applicable,Chronological/grouped folds and label availability,artifact_manifest.id,stored
experiment_run,stage,ENUM,false,not applicable,design/development/locked_confirmation/result,,stored
experiment_run,supersedes_id,HASH,true,not applicable,Append state/result version; never erase trials,experiment_run.id,stored
experiment_run,verdict,ENUM,false,not applicable,not_run/positive/negative/inconclusive/invalid,,stored
feature_definition,feature_id,TEXT,false,not applicable,Stable F01-F60 or baseline primitive namespace,,stored
feature_definition,feature_version,HASH,false,not applicable,Hash of formula and complete semantics,,stored
feature_definition,formula,TEXT,false,not applicable,Pinned executable formula specification,,stored
feature_definition,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
feature_definition,minimum_coverage,DECIMAL_TEXT,true,explicit unit field/source contract,"Predeclared fraction, not an optimised hindsight filter",,stored
feature_definition,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
feature_definition,missingness_policy,JSON,false,not applicable,Allowed missing reasons and denominator-zero handling,,stored
feature_definition,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
feature_definition,raw_dependencies,JSON,false,not applicable,Required fields and order/availability constraints,,stored
feature_definition,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
feature_definition,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
feature_definition,status,ENUM,false,not applicable,candidate/locked/retired; new row for change,,stored
feature_definition,transformation_specification,JSON,false,not applicable,"Transform, clipping, normalisation fit manifest or none",,stored
feature_definition,units,TEXT,false,not applicable,Output and numerator/denominator units,,stored
feature_definition,window_specification,JSON,false,not applicable,"Duration, closure and alignment conventions",,stored
feature_value,available_to_model_at,UTC,false,UTC microseconds; original precision in source envelope,Maximum dependency and computation completion,,stored
feature_value,computed_at,UTC,false,UTC microseconds; original precision in source envelope,Actual calculation time,,stored
feature_value,coverage_definition,TEXT,true,not applicable,Coverage meaning,,stored
feature_value,coverage_fraction,DECIMAL_TEXT,true,explicit unit field/source contract,Measured window coverage,,stored
feature_value,denominator,DECIMAL_TEXT,true,explicit unit field/source contract,ratio decomposition; zero retained,,stored
feature_value,feature_definition_id,HASH,false,not applicable,Exact definition version,feature_definition.id,stored
feature_value,feature_id,TEXT,false,not applicable,stable definition identity,,stored
feature_value,feature_version,TEXT,false,not applicable,formula hash,,stored
feature_value,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
feature_value,input_observation_ids,ID_LIST,false,not applicable,complete dependency manifest,,stored
feature_value,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
feature_value,missingness_reason,ENUM,false,not applicable,observed vs unavailable/stale/censored/etc,,stored
feature_value,numerator,DECIMAL_TEXT,true,explicit unit field/source contract,ratio decomposition,,stored
feature_value,origin_id,HASH,false,not applicable,Frozen origin,research_origin.id,stored
feature_value,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
feature_value,quality_flags,JSON,false,not applicable,Typed flags; absence is not a quality certificate,,stored
feature_value,raw_value_decimal,DECIMAL_TEXT,true,explicit unit field/source contract,lossless numerical primitive/feature,,stored
feature_value,raw_value_text,TEXT,true,not applicable,original numeric representation,,stored
feature_value,raw_value_vector,TYPED_VECTOR,true,not applicable,levels/quantiles/embeddings with dimensions,,stored
feature_value,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
feature_value,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
feature_value,transform_manifest_id,HASH,true,not applicable,Frozen training transform,artifact_manifest.id,stored
feature_value,transform_version,TEXT,false,not applicable,training transform and clipping rules,,stored
feature_value,transformed_value,TYPED_NUMBER,true,not applicable,versioned model input,,stored
feature_value,units,TEXT,false,not applicable,explicit commensurate unit,,stored
feature_value,window_end_at,UTC,false,UTC microseconds; original precision in source envelope,lookback bound before cutoff,,stored
feature_value,window_start_at,UTC,false,UTC microseconds; original precision in source envelope,lookback bound,,stored
information_event_version,available_to_model_at,UTC,false,UTC microseconds; original precision in source envelope,After extraction and every dependency,,stored
information_event_version,claim_id,TEXT,false,not applicable,deduplicated proposition,,stored
information_event_version,document_id,TEXT,false,not applicable,source/version identity,,stored
information_event_version,embedding_version,TEXT,true,not applicable,"model,dimensions,normalisation",,stored
information_event_version,entity_ids,ID_LIST,false,not applicable,versioned alias/entity mapping,,stored
information_event_version,expectation_available_at,UTC,true,UTC microseconds; original precision in source envelope,must precede release for surprise,,stored
information_event_version,extraction_model_version,TEXT,true,not applicable,LLM/parser version,,stored
information_event_version,extraction_output,TYPED_OBJECT,false,not applicable,"Versioned structured claims, confidence, errors and extraction config",,stored
information_event_version,first_available_at,UTC,true,UTC microseconds; original precision in source envelope,Independently evidenced availability,,stored
information_event_version,first_received_at,UTC,false,UTC microseconds; original precision in source envelope,AREPO receipt,,stored
information_event_version,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
information_event_version,independent_source_count,INT64,true,not applicable,not article count,,stored
information_event_version,lineage_observation_ids,ID_LIST,false,not applicable,Original and syndicated source evidence,,stored
information_event_version,market_match_ids,ID_LIST,false,not applicable,Versioned market identities; none permitted,,stored
information_event_version,match_confidence,DECIMAL_TEXT,true,explicit unit field/source contract,validated linkage score,,stored
information_event_version,matching_version,HASH,false,not applicable,Rule-aware matcher,,stored
information_event_version,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
information_event_version,novelty_value,DECIMAL_TEXT,true,explicit unit field/source contract,definition/model/window versioned,,stored
information_event_version,numeric_actual_raw,TEXT,true,not applicable,first-released number with unit,,stored
information_event_version,numeric_expectation_raw,TEXT,true,not applicable,frozen prerelease expectation,,stored
information_event_version,numeric_unit,TEXT,true,not applicable,Explicit actual/expectation units,,stored
information_event_version,original_source_id,TEXT,true,not applicable,independent-origin lineage,,stored
information_event_version,prompt_hash,TEXT,true,not applicable,frozen prompt identity,,stored
information_event_version,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
information_event_version,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
information_event_version,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
information_event_version,source_observation_id,HASH,false,not applicable,Document observation,source_observation.id,stored
information_event_version,source_published_at,UTC,true,UTC microseconds; original precision in source envelope,Publisher declaration,,stored
information_event_version,stance_probabilities,DECIMAL_VECTOR,true,explicit unit field/source contract,supports/contradicts/irrelevant etc,,stored
information_event_version,supersedes_id,HASH,true,not applicable,Previous document/extraction version,information_event_version.id,stored
information_event_version,text_hash,HASH,false,not applicable,Exact source text hash or documented metadata-only hash,,stored
information_event_version,text_hash_scope,ENUM,false,not applicable,content/metadata_only,,stored
information_event_version,text_rights_state,ENUM,false,not applicable,retention/redistribution permission state,,stored
label_version,actual_delay_seconds,DECIMAL_TEXT,true,explicit unit field/source contract,retain number not only exact/nearest tag,,stored
label_version,censoring_reason,ENUM,true,not applicable,close/window/source/quality etc,,stored
label_version,fee_config_version,TEXT,true,not applicable,market-time economic evaluation,,stored
label_version,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
label_version,label_available_at,UTC,true,UTC microseconds; original precision in source envelope,when label may enter training,,stored
label_version,label_computation_version,HASH,false,not applicable,Pinned computation rules,,stored
label_version,label_id,HASH,false,not applicable,immutable label revision key; compatibility alias equal to canonical id,,stored
label_version,label_observed_at,UTC,true,UTC microseconds; original precision in source envelope,actual quote/event observation,,stored
label_version,label_value,TYPED_OBJECT,true,not applicable,Explicit class/delta/distribution/payout representation,,stored
label_version,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
label_version,origin_id,HASH,false,not applicable,Origin shared by comparable predictions,research_origin.id,stored
label_version,outcome_observation_ids,ID_LIST,false,not applicable,raw outcome lineage,,stored
label_version,payout_vector,DECIMAL_VECTOR,true,explicit unit field/source contract,fractional/void outcomes represented,,stored
label_version,prediction_id,HASH,true,not applicable,"Optional candidate link, labels otherwise shared",prediction.id,stored
label_version,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
label_version,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
label_version,revision_reason,TEXT,true,not applicable,Required when supersedes_label_id set,,stored
label_version,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
label_version,status,ENUM,false,not applicable,pending/unavailable/unchanged/closed/evaluated/invalid,,stored
label_version,supersedes_label_id,TEXT,true,not applicable,revision chain,label_version.id,stored
label_version,target_at,UTC,false,UTC microseconds; original precision in source envelope,intended outcome time,,stored
label_version,target_definition_id,HASH,false,not applicable,Target semantics,target_definition.id,stored
market_identity_version,category,TEXT,true,not applicable,As-known category,,stored
market_identity_version,close_at,UTC,true,UTC microseconds; original precision in source envelope,"As-known close, not information-event time",,stored
market_identity_version,condition_identity_id,HASH,true,not applicable,Verified condition link; unresolved stays null,condition_identity.id,stored
market_identity_version,event_id,TEXT,true,not applicable,Gamma event ID; missing remains unknown,,stored
market_identity_version,fee_configuration,JSON,true,not applicable,"Versioned rate/formula/currency/era, numbers as decimal strings",,stored
market_identity_version,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
market_identity_version,information_event_at,UTC,true,UTC microseconds; original precision in source envelope,Announced underlying event time if evidenced,,stored
market_identity_version,lifecycle_state,TEXT,false,not applicable,Source status with versioned semantics,,stored
market_identity_version,mapping_confidence,DECIMAL_TEXT,true,explicit unit field/source contract,confidence with method version,,stored
market_identity_version,mapping_evidence_ids,ID_LIST,false,not applicable,supporting observation identifiers,,stored
market_identity_version,mapping_version,HASH,false,not applicable,identity/rule/group map hash,,stored
market_identity_version,market_id,TEXT,false,not applicable,native ID,,stored
market_identity_version,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
market_identity_version,observed_from_at,UTC,false,UTC microseconds; original precision in source envelope,first AREPO knowledge of mapping,,stored
market_identity_version,observed_to_at,UTC,true,UTC microseconds; original precision in source envelope,supersession knowledge time,,derived_as_of_view
market_identity_version,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
market_identity_version,question,TEXT,false,not applicable,"Question as observed, not current metadata",,stored
market_identity_version,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
market_identity_version,resolution_source,TEXT,true,not applicable,Rule-designated authority,,stored
market_identity_version,rules_hash,HASH,true,not applicable,Exact rule version hash,,stored
market_identity_version,rules_text,TEXT,true,not applicable,Rights-permitted market resolution rules,,stored
market_identity_version,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
market_identity_version,supersedes_id,HASH,true,not applicable,Prior market version,market_identity_version.id,stored
market_identity_version,tick_size,DECIMAL_TEXT,true,explicit unit field/source contract,Collateral/share tick with source lineage,,stored
market_identity_version,valid_from_at,UTC,true,UTC microseconds; original precision in source envelope,effective-world interval,,stored
market_identity_version,valid_to_at,UTC,true,UTC microseconds; original precision in source envelope,effective-world interval end,,stored
market_identity_version,venue,TEXT,false,not applicable,source namespace,,stored
outcome_observation,ask,DECIMAL_TEXT,true,explicit unit field/source contract,purchase-side executable candidate,,stored
outcome_observation,available_to_model_at,UTC,true,UTC microseconds; original precision in source envelope,When raw outcome becomes usable,,stored
outcome_observation,bid,DECIMAL_TEXT,true,explicit unit field/source contract,sale-side executable candidate,,stored
outcome_observation,close_state,TEXT,false,not applicable,As-observed closure status,,stored
outcome_observation,executable_size,DECIMAL_TEXT,true,explicit unit field/source contract,Size whose depth was evaluated,,stored
outcome_observation,first_received_at,UTC,true,UTC microseconds; original precision in source envelope,Receipt unknown for legacy,,stored
outcome_observation,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
outcome_observation,label_observed_at,UTC,true,UTC microseconds; original precision in source envelope,Actual quote/event time under stated clock contract,,stored
outcome_observation,midpoint,DECIMAL_TEXT,true,explicit unit field/source contract,freshness-qualified quote midpoint,,stored
outcome_observation,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
outcome_observation,missingness_reason,ENUM,false,not applicable,Observed or canonical reason,,stored
outcome_observation,near_mid_depth,DECIMAL_TEXT,true,explicit unit field/source contract,Explicit shares or collateral in unit map,,stored
outcome_observation,observation_status,ENUM,false,not applicable,observed/pending/unavailable/closed/invalid,,stored
outcome_observation,origin_id,HASH,false,not applicable,Origin for target linkage,research_origin.id,stored
outcome_observation,payout_vector,DECIMAL_VECTOR,true,explicit unit field/source contract,Ordered exact payout fractions,,stored
outcome_observation,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
outcome_observation,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
outcome_observation,resolution_state,TEXT,false,not applicable,unresolved/proposed/disputed/final/void/fractional/unknown,,stored
outcome_observation,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
outcome_observation,source_observation_id,HASH,false,not applicable,Observed outcome fact,source_observation.id,stored
outcome_observation,supersedes_id,HASH,true,not applicable,"Corrected fact/reorg, retain original",outcome_observation.id,stored
outcome_observation,target_at,UTC,false,UTC microseconds; original precision in source envelope,Origin plus horizon or declared event target,,stored
outcome_observation,target_definition_id,HASH,false,not applicable,Target and tolerance contract,target_definition.id,stored
outcome_observation,units,JSON,false,not applicable,"Price, depth, payout and currency units",,stored
prediction,abstention_reason,ENUM,true,not applicable,quality/applicability/insufficient-evidence/no-signal,,stored
prediction,calibration_version,TEXT,false,not applicable,calibration artifact or none,,stored
prediction,class_probabilities,DECIMAL_VECTOR,true,explicit unit field/source contract,all classes including flat,,stored
prediction,direction,ENUM,true,not applicable,up/down/flat for legacy baselines; not invented probabilities,,stored
prediction,distribution_parameters,TYPED_OBJECT,true,not applicable,continuous predictive distribution,,stored
prediction,experiment_run_id,HASH,false,not applicable,Preregistered candidate run,experiment_run.id,stored
prediction,feature_manifest_id,HASH,false,not applicable,Exact feature-value and lineage IDs,artifact_manifest.id,stored
prediction,generated_at,UTC,false,UTC microseconds; original precision in source envelope,Model completion time,,stored
prediction,horizon_seconds,INT64,false,not applicable,nominal horizon,,stored
prediction,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
prediction,latency_ms,DECIMAL_TEXT,false,explicit unit field/source contract,Measured time after origin,,stored
prediction,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
prediction,model_version,TEXT,false,not applicable,model parameters/artifact hash,,stored
prediction,origin_id,HASH,false,not applicable,Actual forecast origin,research_origin.id,stored
prediction,output_kind,ENUM,false,not applicable,class_probabilities/distribution/direction/abstention,,stored
prediction,prediction_id,HASH,false,not applicable,immutable model-origin-target key; compatibility alias equal to canonical id,,stored
prediction,prediction_persisted_at,UTC,false,UTC microseconds; original precision in source envelope,must be recorded before future labels,,stored
prediction,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
prediction,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
prediction,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
prediction,target_definition_id,HASH,false,not applicable,Immutable target contract,target_definition.id,stored
prediction,target_version,TEXT,false,not applicable,target definition hash,,stored
prediction,training_manifest_id,TEXT,false,not applicable,exact observations/labels/splits,artifact_manifest.id,stored
prediction,uncalibrated_prediction_id,HASH,true,not applicable,Original constituent before calibration,prediction.id,stored
research_origin,eligibility_reason,TEXT,false,not applicable,admitted/excluded with reason,,stored
research_origin,eligibility_snapshot,JSON,false,not applicable,"Population, admitted/excluded state and all frozen inputs",,stored
research_origin,eligibility_version,TEXT,false,not applicable,rule version,,stored
research_origin,event_group_version,TEXT,false,not applicable,frozen split/group mapping,,stored
research_origin,feature_cutoff_at,UTC,false,UTC microseconds; original precision in source envelope,latest allowed feature availability,,stored
research_origin,group_manifest_id,HASH,false,not applicable,"As-known group graph, including unresolved state",artifact_manifest.id,stored
research_origin,id,HASH,false,not applicable,Stable record key per entity natural key/version recipe,,stored
research_origin,legacy_entry_reference,JSON,true,not applicable,v1 entry/cohort keys; no mutation,,stored
research_origin,market_identity_id,HASH,false,not applicable,Frozen market metadata,market_identity_version.id,stored
research_origin,missing_fields,JSON,false,not applicable,Field-name to canonical missingness reason; mandatory for every scientifically nullable unknown,,stored
research_origin,origin_id,HASH,false,not applicable,frozen observation/prediction origin; compatibility alias equal to canonical id,,stored
research_origin,origin_kind,ENUM,false,not applicable,prospective/legacy_reference/synthetic,,stored
research_origin,origin_recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Actual durable origin record time,,stored
research_origin,prediction_origin_at,UTC,false,UTC microseconds; original precision in source envelope,actual forecast origin,,stored
research_origin,provenance_class,ENUM,false,not applicable,prospective/reconstructed/synthetic/legacy_unverified,,stored
research_origin,recorded_at,UTC,false,UTC microseconds; original precision in source envelope,Time this immutable version was durably recorded,,stored
research_origin,sampling_arm,ENUM,false,not applicable,scheduled/triggered/control,,stored
research_origin,sampling_manifest_id,HASH,false,not applicable,Population/seed/strata/probability design,artifact_manifest.id,stored
research_origin,scheduled_origin_at,UTC,true,UTC microseconds; original precision in source envelope,intended schedule,,stored
research_origin,schema_version,TEXT,false,not applicable,Canonical contract version,,stored
research_origin,selection_probability,DECIMAL_TEXT,true,explicit unit field/source contract,known sampling probability; unknown flagged,,stored
research_origin,token_outcome_id,HASH,false,not applicable,Frozen token/market mapping,token_outcome_version.id,stored
research_origin,trigger_id,TEXT,true,not applicable,origin trigger lineage,,stored
source_observation,availability_evidence_ids,ID_LIST,false,not applicable,Evidence for public availability; empty means unknown,,stored
source_observation,available_to_model_at,UTC,false,UTC microseconds; original precision in source envelope,after receipt and required computation,,stored
