entity,field,type,required,meaning,preservation,as_of_rule
identity,mapping_version,string,required,identity/rule/group map hash,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,valid_from_at,UTC timestamp,nullable,effective-world interval,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,valid_to_at,UTC timestamp,nullable,effective-world interval end,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,observed_from_at,UTC timestamp,required,first AREPO knowledge of mapping,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,observed_to_at,UTC timestamp,nullable,supersession knowledge time,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,mapping_confidence,"decimal [0,1]",nullable,confidence with method version,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
identity,mapping_evidence_ids,string[],required,supporting observation identifiers,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,observation_id,string,required,immutable unique key,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,source_id,string,required,source registry foreign key,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,native_record_id,string,nullable,source trade/document/message ID,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,source_event_at,UTC timestamp,nullable,"source event time, not ingestion",Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,source_published_at,UTC timestamp,nullable,publisher-declared time,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,first_available_at,UTC timestamp,nullable,independently evidenced public availability,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,first_received_at,UTC timestamp,required,AREPO first receipt,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,ingested_at,UTC timestamp,required,durable ingestion time,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,available_to_model_at,UTC timestamp,required,after receipt and required computation,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,raw_timestamp,string,nullable,original timestamp value,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,timestamp_unit,string,nullable,seconds/milliseconds/ISO/etc,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,clock_error_bound_ms,decimal,nullable,"known timing uncertainty, not assumed zero",Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,source_sequence,string,nullable,only where actually supplied,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,request_cursor,string,nullable,page traversal lineage,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,payload_hash,sha256,required,content integrity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,raw_payload_uri,string,nullable,rights-permitted source object,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,schema_version,string,required,schema hash,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,parser_version,string,required,parser identity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,protocol_version,string,nullable,v1/v2/contract era,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,revision_of,string,nullable,append-only revision link,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,provenance_class,enum,required,prospective/reconstructed/synthetic,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,missing_reason,enum,required,observed or explicit missingness,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,quality_flags,string[],required,empty array means checked/no flags only when documented,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
source_observation,coverage_fraction,"decimal [0,1]",nullable,measured coverage and denominator definition,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,origin_id,string,required,frozen observation/prediction origin,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,scheduled_origin_at,UTC timestamp,nullable,intended schedule,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,feature_cutoff_at,UTC timestamp,required,latest allowed feature availability,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,prediction_origin_at,UTC timestamp,required,actual forecast origin,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,eligibility_version,string,required,rule version,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,eligibility_reason,string,required,admitted/excluded with reason,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,sampling_arm,enum,required,scheduled/triggered/control,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,selection_probability,"decimal (0,1]",nullable,known sampling probability; unknown flagged,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,trigger_id,string,nullable,origin trigger lineage,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
research_origin,event_group_version,string,required,frozen split/group mapping,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,snapshot_id,string,required,snapshot/delta reconstruction key,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,side,enum,required,bid/ask with source convention,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,level,integer,required,ordered price level,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,price_raw,string,required,exact source decimal string,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,price_decimal,decimal,nullable,lossless parsed price per share,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,size_raw,string,required,exact source decimal string,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,size_decimal,decimal,nullable,quantity with source units,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,unit,string,required,shares/contracts/native amount,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,book_hash,string,nullable,source hash where supplied,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,quote_age_ms,decimal,nullable,age with defined source/receipt semantics,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
book_level,reconstruction_status,enum,required,complete/gap/stale/invalid,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,trade_id,string,required,deduplicated economic fill key,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,trade_price_raw,string,required,native exact price,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,trade_size_raw,string,required,native exact size,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,trade_notional,decimal,nullable,price times size with currency,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,fee_native,exact decimal,nullable,actual fee and units,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,aggressor_side,enum,nullable,buy/sell/unknown; source semantics versioned,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,maker_wallet,string,nullable,public attribution only,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,taker_wallet,string,nullable,public attribution only,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,transaction_hash,hex32,nullable,settlement lineage,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,log_index,integer,nullable,unique chain event position,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,block_hash,hex32,nullable,reorg detection,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,block_number,exact integer,nullable,historical state reference,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
trade_observation,settlement_status,enum,required,matched/settled/reverted/unknown,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,feature_id,string,required,stable definition identity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,feature_version,string,required,formula hash,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,raw_value_decimal,decimal,nullable,lossless numerical primitive/feature,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,raw_value_text,string,nullable,original numeric representation,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,raw_value_vector,typed array,nullable,levels/quantiles/embeddings with dimensions,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,transformed_value,float64 or decimal,nullable,versioned model input,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,numerator,decimal,nullable,ratio decomposition,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,denominator,decimal,nullable,ratio decomposition; zero retained,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,units,string,required,explicit commensurate unit,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,window_start_at,UTC timestamp,required,lookback bound,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,window_end_at,UTC timestamp,required,lookback bound before cutoff,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,input_observation_ids,string[],required,complete dependency manifest,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,transform_version,string,required,training transform and clipping rules,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
feature_value,missingness_reason,enum,required,observed vs unavailable/stale/censored/etc,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,wallet_id,string,required,public address namespace,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,coverage_start_at,UTC timestamp,nullable,first time history is known complete,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,first_observed_at,UTC timestamp,required,not necessarily wallet creation,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,prior_mature_event_count,integer,required,labels available before origin only,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,holding_shares,decimal,nullable,reconciled as-of balance,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,net_flow,decimal,nullable,defined window and unit,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,skill_posterior_mean,decimal,nullable,price-adjusted mature-history effect,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,skill_posterior_sd,decimal,nullable,uncertainty and pooling version,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,history_manifest_id,string,required,as-of source/label dependencies,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
wallet_state,role_flags,string[],required,market maker/arbitrage unknown/proxy etc; uncertain,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,document_id,string,required,source/version identity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,claim_id,string,required,deduplicated proposition,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,original_source_id,string,nullable,independent-origin lineage,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,entity_ids,string[],required,versioned alias/entity mapping,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,numeric_actual_raw,string,nullable,first-released number with unit,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,numeric_expectation_raw,string,nullable,frozen prerelease expectation,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,expectation_available_at,UTC timestamp,nullable,must precede release for surprise,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,novelty_value,decimal,nullable,definition/model/window versioned,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,stance_probabilities,decimal vector,nullable,supports/contradicts/irrelevant etc,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,match_confidence,"decimal [0,1]",nullable,validated linkage score,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,extraction_model_version,string,nullable,LLM/parser version,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,prompt_hash,string,nullable,frozen prompt identity,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,embedding_version,string,nullable,"model,dimensions,normalisation",Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,independent_source_count,integer,nullable,not article count,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
information_event,text_rights_state,enum,required,retention/redistribution permission state,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,prediction_id,string,required,immutable model-origin-target key,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,model_version,string,required,model parameters/artifact hash,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,training_manifest_id,string,required,exact observations/labels/splits,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,calibration_version,string,required,calibration artifact or none,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,target_version,string,required,target definition hash,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,horizon_seconds,integer,required,nominal horizon,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,class_probabilities,decimal vector,nullable,all classes including flat,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,distribution_parameters,typed struct,nullable,continuous predictive distribution,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,prediction_persisted_at,UTC timestamp,required,must be recorded before future labels,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
prediction,abstention_reason,enum,nullable,quality/applicability/insufficient-evidence/no-signal,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Dependencies available by feature cutoff; no retrospective overwrite
label_version,label_id,string,required,immutable label revision key,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,target_at,UTC timestamp,required,intended outcome time,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,label_observed_at,UTC timestamp,nullable,actual quote/event observation,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,label_available_at,UTC timestamp,nullable,when label may enter training,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,actual_delay_seconds,decimal,nullable,retain number not only exact/nearest tag,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,outcome_midpoint,decimal,nullable,freshness-qualified quote midpoint,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,outcome_bid,decimal,nullable,sale-side executable candidate,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,outcome_ask,decimal,nullable,purchase-side executable candidate,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,censoring_reason,enum,nullable,close/window/source/quality etc,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,payout_vector,exact decimal vector,nullable,fractional/void outcomes represented,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,supersedes_label_id,string,nullable,revision chain,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,fee_config_version,string,nullable,market-time economic evaluation,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
label_version,outcome_observation_ids,string[],required,raw outcome lineage,Permanent for registered research observations and lineage; raw source coverage policy in Feature Store v2,Later observations separate; training only after label_available_at
