feature_id,name,definition,raw_inputs,availability,versions,units,transformations,windows,mechanism,evidence,interactions,missingness,confounders,source_codes,current_availability,falsification,priority
F11,Trade clustering,maximum signed notional in a rolling 10-second subwindow / 5-minute notional,"individual fill times,sizes,sides,IDs","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 5m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Compact directional trade clusters predict continuation beyond total flow,E13;E14,Use source and receipt clocks separately; compare time-shuffled within-window placebo.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Batch publication and repeated maker/taker records manufacture clusters,PTRADE,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H11; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F12,Trading burstiness,(sd(interarrival)-mean(interarrival))/(sd(interarrival)+mean(interarrival)); count separately,trade event and receipt times; gap flags,"All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 15m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Burstiness predicts material-move probability after volume and volatility controls,E29;HYP,Compare simple count/acceleration before considering Hawkes intensity.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,"Polling batching, time of day, market age and activity selection",PTRADE,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H12; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F13,Late large trading,depth-normalised signed notional * spline(log(1+seconds_to_information_event)),"trade,depth,announced event time,market close and resolution schedule","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 15m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Large late trades are informative before the underlying event becomes known,E15,"Separate pre-event, event-known/pre-resolution and post-resolution strata; never pool.",Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Post-event settlement lag masquerades as informed prediction,PTRADE;PGAMMA;POFFICIAL,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H13; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F14,External market lead,underlying return over 1m/5m minus prediction-market implied response estimated on training data,"Coinbase or other licensed quotes; strike,expiry; PM prices; latency","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Underlying-market innovations predict delayed PM repricing,E13;E17;HYP,Use Chainlink/TWAP reference where resolution requires it; compare spot-only and rule-aware mapping.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Oracle reference mismatch; clock skew; changing volatility; trading delays,XCOIN;PBOOK;PGAMMA,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H14; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F15,Related-market lead,lagged price innovations from linked contracts residualised on own returns,related prices; relationship type/version; as-of group map,"All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 15m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Related contracts lead repricing beyond own momentum,E06;E08,Fit lag graph on training only; compare reverse-time placebo and synchronous innovations.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,"Non-equivalent rules, simultaneity and shared information",PGAMMA;PBOOK,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H15; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F16,News acceleration,(unique claims last 15m / 15)-(unique claims previous 60m / 60),"document first receipt,claim clusters,sources,matching confidence","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Acceleration in distinct relevant claims predicts material moves,E19;E20,"Deduplicate by claim, compare article count, control pre-news PM returns.",Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,"Syndication, publisher batching, market moves generating coverage",XNEWS,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H16; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F17,News novelty,"1-max cosine(embedding(new claim), embeddings of prior related claims within 7d)","frozen embedding model, text/version, prior claim corpus","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Novel relevant information predicts more durable repricing than repeated information,E20,"Compare exact-copy, lexical and embedding novelty; zero-shot outcome guessing excluded.",Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,"Entity mismatch, model updates, first article missing, semantic direction",XNEWS,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H17; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F18,Social acceleration,"unique-author relevant original posts per minute acceleration, bot/repost counts separate","licensed posts,receipt time,author/repost IDs,match confidence","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 15m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Social activity acceleration adds information beyond news and prices,E18;E21,Match coverage and posting-hour controls; replace total posts with unique claims in ablation.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,"API sampling, bots, engagement revisions, attention after price moves",XX,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H18; fail incremental prospective test after timing and baseline controls, or report underpowered.",P2
F19,Official statement detection,indicator and stance probability for a first-available authoritative claim matched to market rules,"official release text,receive/publish time,entity/action/date extraction","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 5m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Official statements predict PM adjustment after realistic ingestion delay,HYP,Human-audit blinded matched sample; compare observation after 1/10/60-second delay.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Release already priced; incorrect event date; post-resolution leakage,POFFICIAL,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H19; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F20,Independent source corroboration,number of independent origin-source clusters supporting a claim; disagreement separate,"source lineage,syndication graph,claim stance,receipt times","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Additional independent corroboration changes predictive usefulness nonlinearly,E18;HYP,Compare first-source signal vs incremental independent confirmations at their actual arrival times.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Ten syndicated copies are not ten independent sources; popularity confounding,XNEWS;XX;POFFICIAL,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H20; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F21,Social and wallet interaction,social stance acceleration * contemporaneous skill-weighted signed wallet flow,"F06,F18 inputs with cutoffs","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1h forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Concordant social and wallet evidence adds beyond either family alone,HYP,Factorial main-effects versus interaction comparison; double event-group sample floor.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Both react to the same earlier public news; sparse intersections,XX;PWALLET,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H21; fail incremental prospective test after timing and baseline controls, or report underpowered.",P2
F22,News and book interaction,novel claim stance * signed depth withdrawal or microprice displacement,"F09,F10,F17,claim direction probabilities","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 15m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Books validate which novel stories will produce persistent repricing,HYP,Prediction begins after both dependencies arrive; compare slower receipt clock.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Book may already incorporate news before origin; latency selection,XNEWS;PBOOK,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H22; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F23,Multi-level order-flow imbalance,sum_l training-weight_l * signed change in bid/ask queued size with price-level alignment,"book deltas,price levels,executions,sequence gaps","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Deeper order-flow imbalance adds beyond top-of-book and momentum,E04;E06,Compare equal weights to training-estimated weights; no final-test PCA fitting.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Level relabelling when best price changes; collinearity,PBOOK,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H23; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F24,Book resiliency,depth recovered within 30s after shock / depth removed; half-life separately,pre/post-shock books and shock time,"All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 5m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Rapid liquidity replenishment predicts reversal of initial impact,E04;HYP,Origin explicitly after measurement window; match initial shock and spread.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Conditioning on future recovery; quote flicker; endogenous shock definition,PBOOK;PTRADE,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H24; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F25,Spread widening state,(ask-bid)/tick and change over 1m,"fresh bid/ask,tick,age","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 5m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Spread widening predicts move magnitude or abstention value beyond volatility,E03;E05,"Primary target is absolute clean midpoint move, not trade-price direction.",Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Mechanical spread bounce; low liquidity; stale sides,PBOOK,Some frozen primitives may support exploratory reconstruction; source-clock and grouping limitations apply.,"H25; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
F26,Book slope and convexity,cumulative notional depth at 0.1/0.5/1/2pp; slope differences across distances,all relevant levels and exact units,"All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 5m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Depth shape predicts impact persistence beyond top-level depth,E04;HYP,Bands fixed on development; compare continuous cumulative-depth curve model.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Near 0/1 truncated side; arbitrary depth bands,PBOOK,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H26; fail incremental prospective test after timing and baseline controls, or report underpowered.",P2
F27,Quote persistence,time-weighted imbalance / instantaneous imbalance with zero-safe representation,"timestamped changes,imbalance series","All inputs received, parsed and available by feature cutoff; lagged pre-trade values for denominators; historical labels must mature before cutoff.","Feature/formula, schema/parser, source and mapping versions; model/prompt/embedding versions where applicable.",Native units retained; ratios dimensionless where numerator and denominator are commensurate; prices per share and time units explicit.,Retain raw values and denominators; standardise on training only; compare linear versus spline/tree; log1p only for nonnegative magnitudes with sign separate.,"Primary 1m forecast; trailing feature window defined in formula, otherwise preregister 1m/5m/1h development candidates and freeze selection.",Persistent imbalance is more predictive than transient imbalance,E05;HYP,Retain last-update age; compare duration and update-count weighted variants.,Explicit unavailable/stale/truncated/invalid/not-applicable reason; never replace missing by zero; coverage and denominator-zero flags retained.,Receipts batched; unchanged stale book mimics persistence,PBOOK,Not established as a complete causal historical series in AREPO; prospective collection or separately labelled reconstruction required.,"H27; fail incremental prospective test after timing and baseline controls, or report underpowered.",P1
