experiment_id,feature_id,name,hypothesis,null,mechanism,feature_definition,raw_inputs,sources,source_urls,primary_horizon,secondary_horizons,target,eligible_population,sampling_controls,baseline,confounders,primary_test,effective_sample_requirement,validation,falsification,dependencies,cost_difficulty,priority,expected_information_gain,evidence_ids,status
H11,F11,Trade clustering,Compact directional trade clusters predict continuation beyond total flow,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Compact directional trade clusters predict continuation beyond total flow; this is a hypothesis, not an established AREPO result.",maximum signed notional in a rolling 10-second subwindow / 5-minute notional,"individual fill times,sizes,sides,IDs",PTRADE,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Complete deduplicated trade windows,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Batch publication and repeated maker/taker records manufacture clusters,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Use source and receipt clocks separately; compare time-shuffled within-window placebo.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E13;E14,Designed; not executed; no edge established
H12,F12,Trading burstiness,Burstiness predicts material-move probability after volume and volatility controls,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Burstiness predicts material-move probability after volume and volatility controls; this is a hypothesis, not an established AREPO result.",(sd(interarrival)-mean(interarrival))/(sd(interarrival)+mean(interarrival)); count separately,trade event and receipt times; gap flags,PTRADE,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,At least 20 observed trades per window; low-count arm kept separate,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Polling batching, time of day, market age and activity selection",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare simple count/acceleration before considering Hawkes intensity.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E29;HYP,Designed; not executed; no edge established
H13,F13,Late large trading,Large late trades are informative before the underlying event becomes known,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Large late trades are informative before the underlying event becomes known; this is a hypothesis, not an established AREPO result.",depth-normalised signed notional * spline(log(1+seconds_to_information_event)),"trade,depth,announced event time,market close and resolution schedule",PTRADE;PGAMMA;POFFICIAL,https://docs.polymarket.com/api-reference/data-api/migrating-from-v1 | https://docs.polymarket.com/api-spec/gamma-openapi.yaml | https://developer.parliament.uk/,15m,1h;resolution,T1 three-class clean midpoint movement; T2 log-odds change secondary,Pre-event observations with evidenced information-event time,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Post-event settlement lag masquerades as informed prediction,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Separate pre-event, event-known/pre-resolution and post-resolution strata; never pool.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E15,Designed; not executed; no edge established
H14,F14,External market lead,Underlying-market innovations predict delayed PM repricing,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Underlying-market innovations predict delayed PM repricing; this is a hypothesis, not an established AREPO result.",underlying return over 1m/5m minus prediction-market implied response estimated on training data,"Coinbase or other licensed quotes; strike,expiry; PM prices; latency",XCOIN;PBOOK;PGAMMA,https://docs.cdp.coinbase.com/exchange/websocket-feed/overview | https://docs.polymarket.com/market-data/realtime-data | https://docs.polymarket.com/api-spec/gamma-openapi.yaml,1m,5m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Precisely matched asset threshold/window markets,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Oracle reference mismatch; clock skew; changing volatility; trading delays,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Use Chainlink/TWAP reference where resolution requires it; compare spot-only and rule-aware mapping.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E13;E17;HYP,Designed; not executed; no edge established
H15,F15,Related-market lead,Related contracts lead repricing beyond own momentum,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Related contracts lead repricing beyond own momentum; this is a hypothesis, not an established AREPO result.",lagged price innovations from linked contracts residualised on own returns,related prices; relationship type/version; as-of group map,PGAMMA;PBOOK,https://docs.polymarket.com/api-spec/gamma-openapi.yaml | https://docs.polymarket.com/market-data/realtime-data,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Verified common-event or threshold relationships,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Non-equivalent rules, simultaneity and shared information",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Fit lag graph on training only; compare reverse-time placebo and synchronous innovations.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E06;E08,Designed; not executed; no edge established
H16,F16,News acceleration,Acceleration in distinct relevant claims predicts material moves,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Acceleration in distinct relevant claims predicts material moves; this is a hypothesis, not an established AREPO result.",(unique claims last 15m / 15)-(unique claims previous 60m / 60),"document first receipt,claim clusters,sources,matching confidence",XNEWS,https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Markets with explicit entities and evidence-linked text matching,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Syndication, publisher batching, market moves generating coverage",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Deduplicate by claim, compare article count, control pre-news PM returns.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E19;E20,Designed; not executed; no edge established
H17,F17,News novelty,Novel relevant information predicts more durable repricing than repeated information,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Novel relevant information predicts more durable repricing than repeated information; this is a hypothesis, not an established AREPO result.","1-max cosine(embedding(new claim), embeddings of prior related claims within 7d)","frozen embedding model, text/version, prior claim corpus",XNEWS,https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Permitted text archive and historical first-seen corpus,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"Entity mismatch, model updates, first article missing, semantic direction",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare exact-copy, lexical and embedding novelty; zero-shot outcome guessing excluded.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E20,Designed; not executed; no edge established
H18,F18,Social acceleration,Social activity acceleration adds information beyond news and prices,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Social activity acceleration adds information beyond news and prices; this is a hypothesis, not an established AREPO result.","unique-author relevant original posts per minute acceleration, bot/repost counts separate","licensed posts,receipt time,author/repost IDs,match confidence",XX,https://docs.x.com/x-api/getting-started/pricing,15m,1h;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Predeclared entity watchlist with stable paid coverage,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,"API sampling, bots, engagement revisions, attention after price moves",Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Match coverage and posting-hour controls; replace total posts with unique claims in ablation.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E18;E21,Designed; not executed; no edge established
H19,F19,Official statement detection,Official statements predict PM adjustment after realistic ingestion delay,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Official statements predict PM adjustment after realistic ingestion delay; this is a hypothesis, not an established AREPO result.",indicator and stance probability for a first-available authoritative claim matched to market rules,"official release text,receive/publish time,entity/action/date extraction",POFFICIAL,https://developer.parliament.uk/,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Officially resolvable markets and verified rule matches,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Release already priced; incorrect event date; post-resolution leakage,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Human-audit blinded matched sample; compare observation after 1/10/60-second delay.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,HYP,Designed; not executed; no edge established
H20,F20,Independent source corroboration,Additional independent corroboration changes predictive usefulness nonlinearly,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Additional independent corroboration changes predictive usefulness nonlinearly; this is a hypothesis, not an established AREPO result.",number of independent origin-source clusters supporting a claim; disagreement separate,"source lineage,syndication graph,claim stance,receipt times",XNEWS;XX;POFFICIAL,https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/ | https://docs.x.com/x-api/getting-started/pricing | https://developer.parliament.uk/,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,At least one matched claim with source lineage,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Ten syndicated copies are not ten independent sources; popularity confounding,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare first-source signal vs incremental independent confirmations at their actual arrival times.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E18;HYP,Designed; not executed; no edge established
H21,F21,Social and wallet interaction,Concordant social and wallet evidence adds beyond either family alone,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Concordant social and wallet evidence adds beyond either family alone; this is a hypothesis, not an established AREPO result.",social stance acceleration * contemporaneous skill-weighted signed wallet flow,"F06,F18 inputs with cutoffs",XX;PWALLET,https://docs.x.com/x-api/getting-started/pricing | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,1h,15m;6h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Common complete observation panel; main effects included,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Both react to the same earlier public news; sparse intersections,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Factorial main-effects versus interaction comparison; double event-group sample floor.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,HYP,Designed; not executed; no edge established
H22,F22,News and book interaction,Books validate which novel stories will produce persistent repricing,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Books validate which novel stories will produce persistent repricing; this is a hypothesis, not an established AREPO result.",novel claim stance * signed depth withdrawal or microprice displacement,"F09,F10,F17,claim direction probabilities",XNEWS;PBOOK,https://blog.gdeltproject.org/gdelt-doc-2-0-api-debuts/ | https://docs.polymarket.com/market-data/realtime-data,15m,5m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Continuous book panel and matched stories,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Book may already incorporate news before origin; latency selection,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 2,000 independent event blocks; double for sparse interactions; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. If unattainable report insufficient evidence.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Prediction begins after both dependencies arrive; compare slower receipt clock.",H: wallet/text/graph or sparse-event linkage; planned 1-3 researcher-weeks; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,HYP,Designed; not executed; no edge established
H23,F23,Multi-level order-flow imbalance,Deeper order-flow imbalance adds beyond top-of-book and momentum,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Deeper order-flow imbalance adds beyond top-of-book and momentum; this is a hypothesis, not an established AREPO result.",sum_l training-weight_l * signed change in bid/ask queued size with price-level alignment,"book deltas,price levels,executions,sequence gaps",PBOOK,https://docs.polymarket.com/market-data/realtime-data,1m,5m;15m,T1 three-class clean midpoint movement; T2 log-odds change secondary,Continuous multi-level books; level alignment valid,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Level relabelling when best price changes; collinearity,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Compare equal weights to training-estimated weights; no final-test PCA fitting.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E04;E06,Designed; not executed; no edge established
H24,F24,Book resiliency,Rapid liquidity replenishment predicts reversal of initial impact,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Rapid liquidity replenishment predicts reversal of initial impact; this is a hypothesis, not an established AREPO result.",depth recovered within 30s after shock / depth removed; half-life separately,pre/post-shock books and shock time,PBOOK;PTRADE,https://docs.polymarket.com/market-data/realtime-data | https://docs.polymarket.com/api-reference/data-api/migrating-from-v1,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,"Origins 30s after shock, not at shock before recovery is observed",Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Conditioning on future recovery; quote flicker; endogenous shock definition,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Origin explicitly after measurement window; match initial shock and spread.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E04;HYP,Designed; not executed; no edge established
H25,F25,Spread widening state,Spread widening predicts move magnitude or abstention value beyond volatility,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Spread widening predicts move magnitude or abstention value beyond volatility; this is a hypothesis, not an established AREPO result.",(ask-bid)/tick and change over 1m,"fresh bid/ask,tick,age",PBOOK,https://docs.polymarket.com/market-data/realtime-data,5m,15m;1h,T2 magnitude / probability of material move,Two-sided quotes; no crossed books,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Mechanical spread bounce; low liquidity; stale sides,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Clock/identity audit, Feature Store v2, source coverage and baseline panel first. Primary target is absolute clean midpoint move, not trade-price direction.",L: existing-data or low-volume metadata pilot; planned 1-3 researcher-days; estimates exclude elapsed sample accumulation.,P1,High: discriminates a concrete mechanism from price/context or measurement artefact early.,E03;E05,Designed; not executed; no edge established
H26,F26,Book slope and convexity,Depth shape predicts impact persistence beyond top-level depth,No prospective improvement over the strongest development-selected price/context baseline on the identical eligible panel; apparent association is explained by listed controls.,"Depth shape predicts impact persistence beyond top-level depth; this is a hypothesis, not an established AREPO result.",cumulative notional depth at 0.1/0.5/1/2pp; slope differences across distances,all relevant levels and exact units,PBOOK,https://docs.polymarket.com/market-data/realtime-data,5m,15m;1h,T1 three-class clean midpoint movement; T2 log-odds change secondary,Enough visible price range; boundaries accounted for,Scheduled eligible-universe sample plus matched untriggered controls; event/time/liquidity/probability matching; inclusion probabilities retained. See shared protocol.,B0 no-change; B1 momentum; B2 price/context model; B3 current AREPO where reproducible; add-feature and leave-family-out comparisons.,Near 0/1 truncated side; arbitrary depth bands,Chronological grouped paired-score comparison with event/date-cluster uncertainty; Bayesian partial-pooling effect plus simple/boosted challenger. Magnitude/time/error targets use their prespecified proper loss. No final-test tuning.,"Planning floor 1,000 independent event blocks; final N from paired-loss pilot variance and multiplicity-adjusted 80% power. Rows/fills are not independent events.",V1: expanding chronological development folds with purging by actual label availability; event-group lock; untouched future panel; family FDR discovery then prespecified confirmation.,"At adequate prespecified power, prospective uncertainty excludes the registered minimum useful improvement, or effect disappears with timing/quality controls. Wrong sign rejects signed mechanism. Imprecision is inconclusive, not success.","Baseline panel, provenance and rights/access verification; then Bands fixed on development; compare continuous cumulative-depth curve model.",M: prospective feed/alignment pilot; planned 3-7 researcher-days; estimates exclude elapsed sample accumulation.,P2,Medium: valuable conditional on prerequisite data quality and sufficient event diversity.,E04;HYP,Designed; not executed; no edge established
